Sl No,State,Population,Rural,Urban,Area,Density (per km2),Total Solar Area (km2),Total Solar Farm Count,Percentage,Area Percentage
6,Tamil Nadu,72147030,37189229,34949729,130058,555,289,156,2.16e-06,0.5397923875432526
7,Rajasthan,68548437,51540236,17080776,342239,201,145,88,1.28e-06,0.6068965517241379
5,Madhya Pradesh,72626809,52537899,20059666,308245,236,54,59,8.12e-07,1.0925925925925926
8,Karnataka,61095297,37552529,23578175,191791,319,295,343,5.61e-06,1.1627118644067798
10,Andhra Pradesh,49386799,34776389,14610410,160205,308,59,69,1.4e-06,1.1694915254237288
12,Telangana,35193978,21585313,13608665,114840,307,192,250,7.1e-06,1.3020833333333333
17,Chhattisgarh,25545198,19603658,5936538,135191,189,4,8,3.13e-07,2.0
2,Maharashtra,112374333,61545441,50827531,307713,365,51,105,9.34e-07,2.0588235294117645
21,Uttarakhand,10086292,7025583,3091169,53483,189,27,56,5.55e-06,2.074074074074074
9,Gujarat,60439692,34670817,25712811,196024,308,35,73,1.21e-06,2.085714285714286
11,Odisha,41974218,34951234,6996124,155707,269,9,27,6.43e-07,3.0
13,Kerala,33406061,17445506,15932171,38863,859,4,12,3.59e-07,3.0
14,Jharkhand,32988134,25036946,7929292,79714,414,2,6,1.82e-07,3.0
1,Uttar Pradesh,199812341,155111022,44470455,240928,828,6,21,1.05e-07,3.5
4,West Bengal,91276115,62213676,29134060,88752,1030,4,14,1.53e-07,3.5
16,Punjab,27743338,17316800,10387436,50362,550,8,47,1.69e-06,5.875
22,Himachal Pradesh,6864602,6167805,688704,55673,123,1,6,8.74e-07,6.0
18,Haryana,25351462,16531493,8821588,44212,573,3,22,8.68e-07,7.333333333333333
23,Tripura,3673917,2710051,960981,10486,350,0,1,2.72e-07,
