States,Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Annual
ANDAMAN AND NICOBAR    ,11.66702557,92.73598262,5.06,5.88,6.23,6.2,4.62,4.22,4.31,4.39,4.44,4.92,4.7,4.6,4.964166667
ANDHRA PRADESH     ,14.7504291,78.57002559,5.07,5.93,6.35,6.62,6.27,5.36,4.71,4.76,4.99,4.86,4.53,4.42,5.3225
ARUNACHAL PRADESH    ,27.10039878,93.61660071,3.05,3.1,3.32,3.35,3.72,3.56,3.7,3.97,3.59,3.85,3.53,3.13,3.489166667
ASSAM    ,26.7499809,94.21666744,3.61,4.22,4.69,4.59,4.67,4.47,4.31,4.4,4.29,4.22,3.99,3.6,4.255
BIHAR    ,25.78541445,87.4799727,3.15,4.35,5.39,5.77,5.67,4.9,4.33,4.45,4.37,4.49,4.01,3.19,4.505833333
CHANDIGARH    ,30.71999697,76.78000565,3.09,4.08,5.54,6.4,7.11,6.54,5.45,5.28,5.28,5.08,4.02,3.26,5.094166667
CHHATTISGARH    ,22.09042035,82.15998734,4.18,5.09,5.79,6.53,6.63,5.13,3.89,3.81,4.44,4.91,4.4,3.99,4.899166667
DADRA AND NAGAR HAVELI     ,20.26657819,73.0166178,4.56,5.5,6.31,6.98,6.96,5,3.43,3.27,4.2,5.16,4.81,4.3,5.04
DELHI    ,28.6699929,77.23000403,3.04,4.35,5.61,6.37,6.61,5.99,4.87,4.8,4.96,4.64,3.53,3.02,4.815833333
GOA    ,15.491997,73.81800065,5.25,5.96,6.4,6.56,6.17,4.12,3.82,4.38,4.88,5,5.04,4.91,5.2075
HARYANA     ,28.45000633,77.01999101,3.04,4.35,5.61,6.37,6.61,5.99,4.87,4.8,4.96,4.64,3.53,3.02,4.815833333
HIMACHAL PRADESH    ,31.10002545,77.16659704,3,3.57,4.92,5.87,6.49,5.95,4.74,4.48,4.89,4.97,3.84,3.17,4.6575
JAMMU AND KASHMIR    ,34.29995933,74.46665849,2.77,3.13,4.45,5.27,6.26,6.6,6.3,5.74,5.32,4.52,3.15,2.64,4.679166667
JHARKHAND    ,23.80039349,86.41998572,3.69,4.68,5.58,6.12,6,5.06,4.22,4.28,4.38,4.47,3.95,3.46,4.6575
KARNATAKA     ,12.57038129,76.91999711,5.4,6.05,6.3,6.28,5.8,4.84,4.37,4.46,5.01,4.95,4.75,4.82,5.2525
KERALA    ,8.900372741,76.56999263,5.57,6.13,6.23,5.86,5.08,4.74,4.83,5.14,5.4,5.05,4.62,4.9,5.295833333
LAKSHADWEEP    ,10.56257331,72.63686717,5.4,5.99,6.3,6.13,5.31,4.26,4.44,4.98,5.25,4.94,4.78,4.93,5.225833333
MADHYA PRADESH    ,21.30039105,76.13001949,4.41,5.42,6.28,6.96,7.16,5.37,3.81,3.54,4.63,5.25,4.7,4.23,5.146666667
MAHARASHTRA     ,19.25023195,73.16017493,4.68,5.6,6.35,6.97,6.87,4.62,3.16,3.13,4.14,5.09,4.89,4.41,4.9925
MANIPUR    ,24.79997072,93.95001705,4.06,4.78,5.16,5.13,4.91,4.44,4.24,4.41,4.34,4.35,4.18,3.82,4.485
MEGHALAYA    ,25.57049217,91.8800142,3.72,4.41,5,4.96,4.68,3.88,3.71,3.96,3.83,4.17,4.08,3.68,4.173333333
MIZORAM    ,23.71039899,92.72001461,4.1,4.9,5.33,5.31,4.96,4.37,4.36,4.42,4.49,4.47,4.31,3.91,4.5775
NAGALAND    ,25.6669979,94.11657019,3.84,4.38,4.72,4.62,4.49,4.08,3.81,4.02,4.09,4.09,4.08,3.7,4.16
ORISSA    ,19.82042971,85.90001746,4.18,5.13,5.63,6.1,5.86,4.77,4.13,4.14,4.5,4.56,4.32,3.87,4.765833333
PUDUCHERRY    ,11.93499371,79.83000037,4.93,5.77,6.14,6.23,5.87,5.47,5.16,5.31,5.29,4.65,4.07,4.1,5.249166667
PUNJAB    ,31.51997398,75.98000281,2.78,3.74,5.12,6.04,6.72,6.28,5.21,5.01,4.97,4.55,3.5,2.85,4.730833333
RAJASTHAN     ,26.44999921,74.63998124,4.03,5.12,6.18,6.89,7.21,6.55,5.34,4.88,5.47,5.36,4.2,3.83,5.421666667
SIKKIM    ,27.3333303,88.6166475,3.5,3.89,4.32,4.55,4.45,4.12,3.91,3.93,3.66,4.08,3.78,3.54,3.9775
TAMIL NADU     ,12.92038576,79.15004187,4.91,5.76,6.18,6.37,5.93,5.42,5.03,5.13,5.22,4.69,4.17,4.14,5.245833333
TRIPURA    ,23.83540428,91.27999914,4.01,4.94,5.36,5.38,5.05,4.36,4.39,4.51,4.44,4.52,4.42,3.85,4.6025
UTTAR PRADESH    ,27.59998069,78.05000565,2.99,4.44,5.72,6.39,6.59,5.89,4.74,4.68,4.89,4.66,3.58,3,4.7975
UTTARANCHAL    ,30.32040895,78.05000565,3.39,4.18,5.41,6.2,6.84,6.14,4.66,4.49,4.95,5.2,4.2,3.56,4.935
WEST BENGAL     ,22.58039044,88.32994665,3.65,4.64,5.29,5.73,5.6,4.42,4.1,4.02,4.22,4.31,3.98,3.47,4.4525
SI_EF_TILTED_SURFACE_HORIZONTAL          SRB V4/CERES SYN1deg Solar Irradiance for Equator Facing Horizontal Surface (kW-hr/m^2/day) ,,,,,,,,,,,,,,,
